"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cote d'Ivoire","CIV","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","39.38276","","","","","","","","","","","","","","","","","","","46.8227","47.69157","","49.45401","47.86024","51.94523","51.1883","49.87982","","","","","","50.48391","","","","65.35666","68.26229","72.05407","82.34393","84.7071","89.7329","","",
"Cameroon","CMR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","56.27766","56.39323","54.80279","53.93928","59.73567","61.46184","60.59428","61.76391","62.99343","63.3704","","","","","","","","68.92324","","68.15451","66.47375","","","","","","","","","","","","","","","","","","","","82.91874","","","","","90.25242","88.71914","","","",
"Congo, Dem. Rep.","COD","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","54.29018","53.46788","","","57.77708","","","","60.11218","","","","64.19606","65.41728","","","","56.48755","","","54.07675","53.1399","52.48012","52.64684","55.95531","","","","35.88598","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","76.49332","","82.85252","","87.32635","","92.08962","92.62376","86.06842","85.15614","86.01027","86.9558","87.75996","","","","","","","","","","","","","","","","","","","","","56.45804","52.4217","","","","84.61883","","93.13751","","","","","","","","",
"Colombia","COL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","69.05872","","","","","77.01311","","","","","","","","97.05801","96.85771","91.65179","92.35925","","95.0468","","","","","","","","95.12067","92.99698","93.22195","96.60999","95.90338","97.75212","98.24626","","",
"Comoros","COM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.59841","","","","","","","62.29609","","","","","56.2346","62.13601","","","","","","","76.25053","","","","","","84.37104","81.28183","","","83.59432","81.72153","","",
"Cabo Verde","CPV","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","88.80977","86.89369","83.41503","91.23305","93.88383","95.42331","97.23594","","","","","","","","","","","","","","97.414","96.70483","96.07194","95.44915","96.04625","96.9451","96.85466","95.67871","94.6537","93.92161","92.24222","92.6915","92.48289","92.42673","92.65396","91.85233","92.1013","92.64976","","",
"Costa Rica","CRI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","84.94045","","87.59228","88.75836","","90.56168","92.80986","","91.38362","89.95903","89.96312","90.24776","88.54472","","","85.54829","86.63674","86.72537","","86.90914","87.01864","87.64169","","","","","","","","","","","","","","","","","","","","","","99.11983","97.21948","97.73134","98.41674","96.52241","","","",
"Caribbean small states","CSS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.35063","92.58239","91.92655","90.75354","90.45917","91.71112","91.30733","91.01731","91.28915","91.74481","91.00019","91.4823","91.92491","91.70234","91.11903","91.19897","92.31195","90.74128","89.55856","89.1015","","",
"Cuba","CUB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","93.53554","94.4193","95.09471","","","","","","96.36885","94.41839","93.28839","93.08228","92.1089","90.05032","90.29418","91.73722","91.36786","91.67703","91.89559","91.71904","94.2409","95.03094","97.24664","97.14267","98.55066","98.23953","98.37705","99.01438","99.14523","","","98.33851","97.71117","97.05842","96.50009","96.5967","96.58432","98.18851","98.79176","98.49063","97.93168","97.86033","95.17437","93.97633","94.44392","95.5269","97.65977","","",
